matchID,season,battingTeam,bowlingTeam,innings,firstBatter,secondBatter,partnership,totalBallsFaced,fours,sixes,wicket,firstBatterRuns,firstBatterBallsFaced,firstBatterFours,firstBatterSixes,secondBatterRuns,secondBatterBallsFaced,secondBatterFours,secondBatterSixes
6480bb9651b51fdcda05e4c8,2020/21,,,1,EJG Morgan,KL Nagarkoti,7,4,0,1,0,6,3,0,1,1,1,0,0
6480bb9f00ef088221497043,2013,,,2,M Vijay,MEK Hussey,7,17,0,0,1,2,5,0,0,5,12,0,0
6480bba0c1c8569f19cc70f0,2013,,,1,JP Faulkner,STR Binny,7,3,1,0,0,3,2,0,0,4,1,1,0
6480bb9996eb97dd08b62f78,2023,,,2,LS Livingstone,P Simran Singh,7,7,1,0,1,2,4,0,0,5,3,1,0
6480bb9d867c041656e9a75f,2009/10,,,2,B Sumanth,WPUJC Vaas,7,12,0,0,1,3,4,0,0,3,8,0,0
6480bb9db6a011b38afed5dc,2011,,,1,M Manhas,Yuvraj Singh,7,13,0,0,1,4,7,0,0,2,6,0,0
6480bb9c12f907c7b81b11a9,2009,,,2,MM Patel,SK Warne,7,13,0,0,1,4,5,0,0,3,8,0,0
6480bb938ed49c6d5c211429,2017,,,1,C de Grandhomme,YK Pathan,7,5,0,1,1,0,2,0,0,7,3,0,1
6480bb96b7b695186bbb6a3e,2019,,,1,Ishan Kishan,KH Pandya,7,7,0,0,1,0,0,0,0,7,7,0,0
6480bb945901306d3cb2b759,2018,,,2,AM Rahane,BA Stokes,7,9,0,0,1,2,3,0,0,5,6,0,0
6480bb9439fcd1191cf17a90,2017,,,1,DR Smith,KD Karthik,7,6,1,0,1,4,4,1,0,3,2,0,0
