matchID,season,battingTeam,bowlingTeam,over,ballNo,innings,bowler,playerOut,outType,fieldersInvolved
648026d4b9529e3c04b0b07b,2017,Gujarat Lions,Mumbai Indians,13,4,2,SL Malinga,BB McCullum,bowled,
648026d4b9529e3c04b0b07b,2017,Gujarat Lions,Mumbai Indians,17,4,2,MJ McClenaghan,Ishan Kishan,caught,"[""KH Pandya""]"
648026d4b9529e3c04b0b07b,2017,Mumbai Indians,Gujarat Lions,0,2,1,P Kumar,PA Patel,caught,"[""JJ Roy""]"
648026d4b9529e3c04b0b07b,2017,Mumbai Indians,Gujarat Lions,9,2,1,AJ Tye,N Rana,caught,"[""KD Karthik""]"
648026d4b9529e3c04b0b07b,2017,Mumbai Indians,Gujarat Lions,11,1,1,MM Patel,JC Buttler,caught,"[""BB McCullum""]"
648026d4b9529e3c04b0b07b,2017,Mumbai Indians,Gujarat Lions,18,1,1,AJ Tye,KA Pollard,caught,"[""RA Jadeja""]"
648026d4dfd81a9c585959f5,2017,Rising Pune Supergiant,Royal Challengers Bangalore,7,4,2,S Badree,AM Rahane,bowled,
648026d4dfd81a9c585959f5,2017,Rising Pune Supergiant,Royal Challengers Bangalore,8,2,2,P Negi,RA Tripathi,caught,"[""V Kohli""]"
648026d4dfd81a9c585959f5,2017,Rising Pune Supergiant,Royal Challengers Bangalore,15,6,2,SR Watson,MS Dhoni,bowled,
648026d4dfd81a9c585959f5,2017,Rising Pune Supergiant,Royal Challengers Bangalore,16,1,2,S Aravind,SPD Smith,bowled,
648026d4dfd81a9c585959f5,2017,Rising Pune Supergiant,Royal Challengers Bangalore,16,5,2,S Aravind,DT Christian,caught,"[""Mandeep Singh""]"
648026d4dfd81a9c585959f5,2017,Rising Pune Supergiant,Royal Challengers Bangalore,17,1,2,AF Milne,BA Stokes,bowled,
648026d4dfd81a9c585959f5,2017,Rising Pune Supergiant,Royal Challengers Bangalore,17,2,2,AF Milne,SN Thakur,caught,"[""AB de Villiers""]"
648026d4dfd81a9c585959f5,2017,Rising Pune Supergiant,Royal Challengers Bangalore,19,6,2,AF Milne,MK Tiwary,run out,"[""V Kohli"",""KM Jadhav""]"
648026d4dfd81a9c585959f5,2017,Royal Challengers Bangalore,Rising Pune Supergiant,1,5,1,SN Thakur,Mandeep Singh,caught,"[""MS Dhoni""]"
